id,numTrees,currentLeaf,currDepth,Val_score,Train_score
412.0,31.0,82.0,11.0,0.991,0.999
413.0,31.0,82.0,21.0,0.991,0.999
414.0,31.0,82.0,31.0,0.991,0.999
415.0,31.0,82.0,41.0,0.991,0.999
416.0,31.0,82.0,51.0,0.991,0.999
417.0,31.0,82.0,61.0,0.991,0.999
418.0,31.0,82.0,71.0,0.991,0.999
419.0,31.0,82.0,81.0,0.991,0.999
420.0,31.0,82.0,91.0,0.991,0.999
421.0,31.0,92.0,1.0,0.93,0.91
422.0,31.0,92.0,11.0,0.991,0.999
423.0,31.0,92.0,21.0,0.991,0.999
424.0,31.0,92.0,31.0,0.991,0.999
425.0,31.0,92.0,41.0,0.991,0.999
426.0,31.0,92.0,51.0,0.991,0.999
427.0,31.0,92.0,61.0,0.991,0.999
428.0,31.0,92.0,71.0,0.991,0.999
429.0,31.0,92.0,81.0,0.991,0.999
430.0,31.0,92.0,91.0,0.991,0.999
431.0,31.0,102.0,1.0,0.93,0.91
432.0,31.0,102.0,11.0,0.991,0.999
433.0,31.0,102.0,21.0,0.991,0.999
434.0,31.0,102.0,31.0,0.991,0.999
435.0,31.0,102.0,41.0,0.991,0.999
436.0,31.0,102.0,51.0,0.991,0.999
437.0,31.0,102.0,61.0,0.991,0.999
438.0,31.0,102.0,71.0,0.991,0.999
439.0,31.0,102.0,81.0,0.991,0.999
440.0,31.0,102.0,91.0,0.991,0.999
441.0,41.0,2.0,1.0,0.945,0.918
442.0,41.0,2.0,11.0,0.945,0.918
443.0,41.0,2.0,21.0,0.945,0.918
444.0,41.0,2.0,31.0,0.945,0.918
445.0,41.0,2.0,41.0,0.945,0.918
446.0,41.0,2.0,51.0,0.945,0.918
447.0,41.0,2.0,61.0,0.945,0.918
448.0,41.0,2.0,71.0,0.945,0.918
449.0,41.0,2.0,81.0,0.945,0.918
450.0,41.0,2.0,91.0,0.945,0.918
451.0,41.0,12.0,1.0,0.945,0.918
452.0,41.0,12.0,11.0,0.986,0.985
453.0,41.0,12.0,21.0,0.986,0.985
454.0,41.0,12.0,31.0,0.986,0.985
455.0,41.0,12.0,41.0,0.986,0.985
456.0,41.0,12.0,51.0,0.986,0.985
457.0,41.0,12.0,61.0,0.986,0.985
458.0,41.0,12.0,71.0,0.986,0.985
459.0,41.0,12.0,81.0,0.986,0.985
460.0,41.0,12.0,91.0,0.986,0.985
461.0,41.0,22.0,1.0,0.945,0.918
462.0,41.0,22.0,11.0,0.988,0.99
463.0,41.0,22.0,21.0,0.988,0.99
464.0,41.0,22.0,31.0,0.988,0.99
465.0,41.0,22.0,41.0,0.988,0.99
466.0,41.0,22.0,51.0,0.988,0.99
467.0,41.0,22.0,61.0,0.988,0.99
468.0,41.0,22.0,71.0,0.988,0.99
469.0,41.0,22.0,81.0,0.988,0.99
470.0,41.0,22.0,91.0,0.988,0.99
471.0,41.0,32.0,1.0,0.945,0.918
472.0,41.0,32.0,11.0,0.987,0.994
473.0,41.0,32.0,21.0,0.987,0.994
474.0,41.0,32.0,31.0,0.987,0.994
475.0,41.0,32.0,41.0,0.987,0.994
476.0,41.0,32.0,51.0,0.987,0.994
477.0,41.0,32.0,61.0,0.987,0.994
478.0,41.0,32.0,71.0,0.987,0.994
479.0,41.0,32.0,81.0,0.987,0.994
480.0,41.0,32.0,91.0,0.987,0.994
481.0,41.0,42.0,1.0,0.945,0.918
482.0,41.0,42.0,11.0,0.988,0.998
483.0,41.0,42.0,21.0,0.988,0.998
484.0,41.0,42.0,31.0,0.988,0.998
485.0,41.0,42.0,41.0,0.988,0.998
486.0,41.0,42.0,51.0,0.988,0.998
487.0,41.0,42.0,61.0,0.988,0.998
488.0,41.0,42.0,71.0,0.988,0.998
489.0,41.0,42.0,81.0,0.988,0.998
490.0,41.0,42.0,91.0,0.988,0.998
491.0,41.0,52.0,1.0,0.945,0.918
492.0,41.0,52.0,11.0,0.989,0.999
