id,numTrees,currenmaxtLeaf,currDepth,Val_score,Train_score,minLeaf,maxFea,minSplit,min_impurity_decrease,warm_start
306,1,2,11,0.5,0.5,11,10,22,20,True
307,1,2,11,0.644,0.662,11,10,32,0,False
308,1,2,11,0.644,0.662,11,10,32,0,True
309,1,2,11,0.5,0.5,11,10,32,10,False
310,1,2,11,0.5,0.5,11,10,32,10,True
311,1,2,11,0.5,0.5,11,10,32,20,False
312,1,2,11,0.5,0.5,11,10,32,20,True
313,1,2,11,0.791,0.778,11,10,2,0,False
314,1,2,11,0.791,0.778,11,10,2,0,True
315,1,2,11,0.5,0.5,11,10,2,10,False
316,1,2,11,0.5,0.5,11,10,2,10,True
317,1,2,11,0.5,0.5,11,10,2,20,False
318,1,2,11,0.5,0.5,11,10,2,20,True
319,1,2,11,0.791,0.778,11,10,12,0,False
320,1,2,11,0.791,0.778,11,10,12,0,True
321,1,2,11,0.5,0.5,11,10,12,10,False
322,1,2,11,0.5,0.5,11,10,12,10,True
323,1,2,11,0.5,0.5,11,10,12,20,False
324,1,2,11,0.5,0.5,11,10,12,20,True
325,1,2,11,0.791,0.778,11,10,22,0,False
326,1,2,11,0.791,0.778,11,10,22,0,True
327,1,2,11,0.5,0.5,11,10,22,10,False
328,1,2,11,0.5,0.5,11,10,22,10,True
329,1,2,11,0.5,0.5,11,10,22,20,False
330,1,2,11,0.5,0.5,11,10,22,20,True
331,1,2,11,0.791,0.778,11,10,32,0,False
332,1,2,11,0.791,0.778,11,10,32,0,True
333,1,2,11,0.5,0.5,11,10,32,10,False
334,1,2,11,0.5,0.5,11,10,32,10,True
335,1,2,11,0.5,0.5,11,10,32,20,False
336,1,2,11,0.5,0.5,11,10,32,20,True
337,1,2,11,0.791,0.778,11,10,2,0,False
338,1,2,11,0.791,0.778,11,10,2,0,True
339,1,2,11,0.5,0.5,11,10,2,10,False
340,1,2,11,0.5,0.5,11,10,2,10,True
341,1,2,11,0.5,0.5,11,10,2,20,False
342,1,2,11,0.5,0.5,11,10,2,20,True
343,1,2,11,0.791,0.778,11,10,12,0,False
344,1,2,11,0.791,0.778,11,10,12,0,True
345,1,2,11,0.5,0.5,11,10,12,10,False
346,1,2,11,0.5,0.5,11,10,12,10,True
